_RAJ2000,_DEJ2000,_r,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb
358.0085764304939,60.7501701449414,0.903976,2011860988969007872,358.00857643049,60.75017014494,2.2159,7.226,-2.783,13.260301,13.782283,12.569111,Alessi_20,0.06
358.0517726478907,60.7913655770732,0.864911,2011863325427176448,358.05177264789,60.79136557707,2.1271,8.468,-1.423,14.307977,14.900153,13.442295,Alessi_20,0.17
358.8190205351963,60.325912099514,0.965359,2011594597909246208,358.8190205352,60.32591209951,2.0506,8.462,-1.529,17.532743,18.802675,16.288727,Alessi_20,0.18
0.6916224785493,60.6650958885886,0.755924,429361111717663360,0.69162247855,60.66509588859,2.6117,7.767,-2.34,18.950817,20.507627,17.704363,Alessi_20,0.4
1.0102348784547,60.7982753742182,0.792603,429366407421437312,1.01023487845,60.79827537422,2.4564,8.391,-2.339,14.325747,15.033809,13.503401,Alessi_20,1.0
0.9706980659838,60.8419041488675,0.753668,429367571344236928,0.97069806598,60.84190414887,2.3307,8.902,-1.893,18.677763,20.348728,17.42681,Alessi_20,0.24
0.4271520974456,60.6750619137105,0.66521,429372832687501440,0.42715209745,60.67506191371,2.6355,7.446,-2.653,18.350748,20.46213,17.017925,Alessi_20,0.49
0.3517508966877,60.7275549311802,0.601057,429373996615052800,0.35175089669,60.72755493118,2.5385,7.805,-2.735,17.797358,19.725166,16.500713,Alessi_20,0.96
0.3626650886211,60.6749920556429,0.647142,429350155263862656,0.36266508862,60.67499205564,2.3771,7.597,-2.61,15.357818,16.561262,14.262176,Alessi_20,1.0
0.362989751773,60.6762432053257,0.646193,429350155263862400,0.36298975177,60.67624320533,2.3688,7.524,-2.953,13.999813,14.780131,13.120046,Alessi_20,1.0
0.5994861342016,60.3428814908175,0.991868,429327718354926464,0.5994861342,60.34288149082,2.4423,7.425,-2.934,17.364117,19.100424,16.031729,Alessi_20,0.91
358.9341040857491,60.1176351086528,1.141865,2011596487688550528,358.93410408575,60.11763510865,1.7798,7.482,-2.83,20.529423,21.673546,19.172274,Alessi_20,0.07
358.7242635684703,61.0704028176082,0.451103,2011876004170833280,358.72426356847,61.07040281761,2.1636,7.979,-2.142,14.600946,15.252559,13.815665,Alessi_20,0.94
359.6073779691289,60.4431863495577,0.766819,2011610197231067776,359.60737796913,60.44318634956,2.3778,7.683,-2.101,17.218313,18.891026,15.960766,Alessi_20,1.0
358.9817214802862,60.956388637659,0.396853,2011882150260849664,358.98172148029,60.95638863766,2.1505,7.91,-2.212,18.724327,20.58154,17.425798,Alessi_20,0.44
359.54648723696,60.5409392834864,0.669843,2011623833747183232,359.54648723696,60.54093928349,2.1846,7.717,-3.064,14.658118,15.338527,13.856231,Alessi_20,0.4
359.1718152134231,61.3615922390699,0.260592,2011951355079651968,359.17181521342,61.36159223907,2.2609,9.166,-1.876,9.890104,10.018541,9.648656,Alessi_20,0.21
357.7606521231688,59.7223231338715,1.745388,2011468154072098688,357.76065212317,59.72232313387,2.415,7.912,-1.954,16.304415,17.776049,15.121359,Alessi_20,1.0
357.4908862882762,60.4751569253386,1.268357,2011752510966317184,357.49088628828,60.47515692534,2.521,7.765,-2.652,19.736418,21.620262,18.36121,Alessi_20,0.19
356.4895925621648,60.4274465004639,1.71195,2011783915769112704,356.48959256216,60.42744650046,2.2887,7.913,-3.373,20.448969,21.79786,18.97043,Alessi_20,0.06
2.5782207238896,59.8568900668315,1.989257,429068027449137920,2.57822072389,59.85689006683,2.3961,8.092,-2.63,16.881556,18.41173,15.675769,Alessi_20,1.0
0.92443546032,60.4729646818623,0.975411,429332455694901120,0.92443546032,60.47296468186,2.241,7.968,-2.142,18.769585,20.624744,17.394938,Alessi_20,0.93
1.7130088540763,60.6317749453273,1.172973,429395956798368896,1.71300885408,60.63177494533,1.8675,9.021,-2.108,19.930426,20.202929,18.394653,Alessi_20,0.07
358.8089794838858,59.552172164183,1.704752,1999491066530421120,358.80897948389,59.55217216418,2.5615,7.389,-2.406,18.326061,20.307825,17.022432,Alessi_20,0.66
358.3683509142406,59.3544441415994,1.955361,1999479109343678336,358.36835091424,59.3544441416,2.3656,7.43,-2.498,19.669706,21.19458,18.312777,Alessi_20,0.23
358.2934021615081,59.3389731912139,1.982037,1999479040624004352,358.29340216151,59.33897319121,2.3868,7.796,-2.767,19.054583,21.230549,17.649488,Alessi_20,0.84
358.9085624051586,59.4747060156213,1.769929,1999474986174219776,358.90856240516,59.47470601562,2.2941,7.443,-2.266,17.487047,19.24198,16.234396,Alessi_20,0.98
359.7845674384614,60.305497305949,0.908377,1999596417787495296,359.78456743846,60.30549730595,2.6853,7.894,-3.047,19.578339,21.331928,18.212889,Alessi_20,0.17
359.9358262264628,60.3159386735054,0.907856,1999593767788096512,359.93582622646,60.31593867351,2.5331,7.565,-2.068,17.81549,19.260628,16.638475,Alessi_20,0.47
359.938676382595,59.8011697204689,1.417921,1999509865609587584,359.93867638259,59.80116972047,2.3446,8.166,-1.866,16.74034,18.226532,15.493231,Alessi_20,1.0
359.9588205954485,59.7939011558117,1.426294,1999509109695348224,359.95882059545,59.79390115581,2.3616,8.01,-1.706,15.47877,16.53794,14.427052,Alessi_20,1.0
358.9425537536183,59.7972462012184,1.450788,1999567482591371520,358.94255375362,59.79724620122,1.8581,8.503,-2.506,20.355656,21.462936,18.961655,Alessi_20,0.12
358.5902173319943,59.791434798482,1.505268,1999555250522340864,358.59021733199,59.79143479848,2.3008,7.948,-3.21,17.512001,19.406551,16.200703,Alessi_20,0.96
358.0480870806793,59.5285270113992,1.850811,1999534054856772736,358.04808708068,59.5285270114,2.1789,7.97,-2.014,18.44462,19.76968,16.927904,Alessi_20,0.81
359.8717250600677,59.4050049370373,1.809535,1999298621937839488,359.87172506007,59.40500493704,2.1042,8.002,-3.419,18.218943,19.874048,16.975805,Alessi_20,0.05
359.8517663996608,59.8208226788495,1.394137,1999521444841395712,359.85176639966,59.82082267885,2.4904,7.632,-2.561,16.77343,18.275301,15.456336,Alessi_20,1.0
359.9053188816829,59.3368215726945,1.878773,1999294326967155968,359.90531888168,59.33682157269,1.7001,8.484,-2.465,20.603378,21.081339,19.204254,Alessi_20,0.11
359.4379122789307,59.2368694686265,1.975044,1999289241729324032,359.43791227893,59.23686946863,2.13,7.378,-2.52,14.695301,15.328424,13.928695,Alessi_20,0.2
2.6671638047021,60.0349001377771,1.903788,429093728534190848,2.6671638047,60.03490013778,2.3404,8.257,-2.556,16.614046,18.106506,15.4273205,Alessi_20,1.0
2.6485549524657,59.9458437820433,1.954581,429091525206899072,2.64855495247,59.94584378204,2.3043,8.223,-2.744,17.956327,20.066797,16.582306,Alessi_20,1.0
0.0759235982841,59.8222028906681,1.406366,423294040911946496,0.07592359828,59.82220289067,2.2685,7.771,-1.917,17.838173,19.301414,16.673376,Alessi_20,0.8
0.52442563779,59.9873219811988,1.301946,423323006172157440,0.52442563779,59.9873219812,2.5274,7.716,-2.912,16.307253,17.488327,15.114488,Alessi_20,1.0
0.1886966210479,60.0898943839567,1.15509,423327644737123072,0.18869662105,60.08989438396,2.2455,7.85,-3.21,17.173737,19.12204,15.856029,Alessi_20,0.99
356.7213502210954,61.2299492168331,1.392209,2012605220899483264,356.7213502211,61.22994921683,2.0214,8.304,-2.482,19.977564,20.602365,18.407393,Alessi_20,0.24
357.0715544988172,61.4904046076145,1.250267,2012659028246145920,357.07155449882,61.49040460761,2.1962,8.456,-2.195,20.3941,22.025175,18.83709,Alessi_20,0.15
0.0349706651125,59.4395087072959,1.782764,423188556516501376,0.03497066511,59.4395087073,2.1526,8.11,-1.582,19.760273,20.769161,18.279333,Alessi_20,0.52
0.3259458747214,59.5284872160823,1.718034,423192958864999552,0.32594587472,59.52848721608,2.2595,7.448,-2.069,17.508858,19.612387,16.16873,Alessi_20,0.99
1.5163401634978,59.4586510967869,1.988438,423226700127731200,1.5163401635,59.45865109679,2.1891,7.689,-2.785,17.046413,18.177868,15.882251,Alessi_20,0.98
2.0830722088021,59.6661277779425,1.966605,423244322373699328,2.0830722088,59.66612777794,2.4222,7.85,-2.539,17.717812,19.507029,16.413847,Alessi_20,1.0
1.5813086929477,59.648306282967,1.838954,423252843588974208,1.58130869295,59.64830628297,2.2991,7.943,-2.369,19.586142,21.335138,18.124495,Alessi_20,0.86
1.1875684358653,59.7129216418946,1.686258,423256558741019008,1.18756843587,59.71292164189,2.4349,8.318,-3.619,17.399895,19.17216,16.149025,Alessi_20,0.49
1.1822209443273,59.7108417634766,1.686906,423256558741019392,1.18222094433,59.71084176348,2.3376,7.415,-3.151,11.165945,11.386817,10.799355,Alessi_20,0.98
2.1211029494078,60.1759364377715,1.60496,429285554651191296,2.12110294941,60.17593643777,0.2062,-2.646,-0.542,17.89262,18.546227,17.127481,Berkeley_1,0.05
2.0640273781674,60.2039111286807,1.565188,429286344924343552,2.06402737817,60.20391112868,0.2209,-2.478,-0.545,18.990597,19.783886,18.156551,Berkeley_1,0.05
2.0622783356329,60.2057409157624,1.563331,429286344924353024,2.06227833563,60.20574091576,0.1869,-2.588,-0.49,18.574903,19.291296,17.748886,Berkeley_1,0.19
2.22015608206,60.1794362154201,1.640071,429286860320323072,2.22015608206,60.17943621542,0.108,-2.857,-0.512,17.793228,18.46763,17.013288,Berkeley_1,0.09
2.1949185940796,60.1676791401214,1.638115,429286791600795136,2.19491859408,60.16767914012,0.0778,-2.507,-0.194,19.292229,20.310865,18.37759,Berkeley_1,0.05
2.2138874799643,60.2021045100166,1.623171,429286894680156032,2.21388747996,60.20210451002,0.1691,-2.779,-0.634,18.613493,19.365997,17.794489,Berkeley_1,0.09
2.2145405713597,60.184647715463,1.634581,429286860320340608,2.21454057136,60.18464771546,0.2951,-2.668,-0.063,17.945545,18.696106,17.100216,Berkeley_1,0.4
2.141980441588,60.1943337803306,1.600784,429287032119068288,2.14198044159,60.19433378033,0.2386,-2.833,-0.656,18.927193,19.696451,18.04687,Berkeley_1,0.07
2.1269579878031,60.1581092013029,1.618935,429285382851486464,2.1269579878,60.1581092013,0.1889,-2.474,-0.414,19.270441,20.10662,18.427067,Berkeley_1,0.05
2.37226825273,60.7832531364836,1.404149,429237313577851264,2.37226825273,60.78325313648,0.2227,-2.824,-0.136,18.166046,18.883759,17.352732,Berkeley_1,0.63
2.4167988704787,60.8663637381754,1.400366,429239443881870080,2.41679887048,60.86636373818,0.1846,-2.535,-0.354,18.281599,19.082823,17.354895,Berkeley_1,0.08
2.540900744291,60.8330516507538,1.467601,429238378735214336,2.54090074429,60.83305165075,0.2825,-2.527,-0.366,18.900175,19.769062,18.051153,Berkeley_1,0.13
2.3294008774028,60.877444735203,1.356408,429238206931308032,2.3294008774,60.8774447352,0.1773,-2.871,-0.211,18.846014,19.695272,17.997946,Berkeley_1,0.11
2.4017514218705,60.8060738506674,1.410608,429237382297390336,2.40175142187,60.80607385067,0.2325,-2.898,0.005,17.025957,17.60575,16.297497,Berkeley_1,0.1
2.360336840375,60.7971841282873,1.394175,429237352242603520,2.36033684038,60.79718412829,0.2048,-2.584,-0.525,16.346615,16.801596,15.706325,Berkeley_1,0.05
2.4688697742782,60.830980044571,1.434501,429237111719867904,2.46886977428,60.83098004457,0.1858,-2.839,-0.106,18.39954,18.959332,17.698994,Berkeley_1,0.14
2.4299416324763,60.7917658327424,1.428119,429236626383107328,2.42994163248,60.79176583274,0.0468,-2.378,-0.541,18.566568,19.233646,17.805231,Berkeley_1,0.06
2.8366728526473,60.8073122470334,1.613313,429234667878758912,2.83667285265,60.80731224703,0.2447,-2.745,-0.115,18.56426,19.331131,17.693125,Berkeley_1,0.2
2.1158048991547,60.2185718696021,1.575191,429287208214185472,2.11580489915,60.2185718696,0.2453,-2.741,-0.313,19.344389,19.828518,18.380617,Berkeley_1,0.14
2.5529420525728,60.7464952276442,1.499558,429236282785609856,2.55294205257,60.74649522764,0.3921,-2.411,-0.564,18.775194,19.465933,17.99174,Berkeley_1,0.05
2.6093566158157,60.8516766996377,1.494686,429235870469042048,2.60935661582,60.85167669964,0.3885,-2.848,-0.022,19.02151,19.814322,18.094261,Berkeley_1,0.06
1.8898170122641,60.0921739644471,1.579333,429264840036152448,1.88981701226,60.09217396445,0.2539,-2.597,-0.329,18.363234,19.083254,17.518585,Berkeley_1,0.05
2.1945744863479,60.2553375054564,1.582298,429287517451949568,2.19457448635,60.25533750546,0.3082,-3.002,-0.408,18.89707,19.635098,18.01734,Berkeley_1,0.11
1.7647276054053,60.3934833642098,1.329752,429292976355081984,1.76472760541,60.39348336421,0.3629,-2.459,-0.188,17.738445,18.416143,16.940603,Berkeley_1,0.07
2.0977606176843,60.2577382657903,1.54331,429287650594655744,2.09776061768,60.25773826579,0.3188,-2.532,-0.125,18.92952,19.827646,18.015354,Berkeley_1,0.2
2.169588260383,60.2901947291607,1.551125,429293427326947584,2.16958826038,60.29019472916,0.4041,-2.812,0.188,19.981464,20.669407,19.065659,Berkeley_1,0.05
2.6127363921616,60.7716938337997,1.519158,429233808884511488,2.61273639216,60.7716938338,0.2587,-2.985,-0.189,18.554867,19.205925,17.771347,Berkeley_1,0.25
2.1961562095598,60.2740987175523,1.571379,429293427335330560,2.19615620956,60.27409871755,0.0501,-2.505,-0.012,19.46825,20.335169,18.56974,Berkeley_1,0.09
2.1748838782234,60.2795363547262,1.559709,429293423031400192,2.17488387822,60.27953635473,0.0723,-2.599,-0.335,18.850555,19.593235,17.973866,Berkeley_1,0.31
1.7072688574196,60.4207995071176,1.290527,429293289896207616,1.70726885742,60.42079950712,0.3289,-2.601,-0.132,17.401806,18.025377,16.661367,Berkeley_1,0.24
1.7376345273586,60.3861369221032,1.323998,429293079434268160,1.73763452736,60.3861369221,0.1224,-2.707,-0.573,18.192822,18.909578,17.36342,Berkeley_1,0.05
1.7825432423482,60.3971975647588,1.334307,429293010714839168,1.78254324235,60.39719756476,-0.0391,-2.616,-0.13,19.191519,20.037535,18.377262,Berkeley_1,0.05
